Total Action: 
A,B
246,63
Total Action Attempt 1: 
A,B
107,47
Total Action Attempt 2: 
A,B
33,2
Total Action Attempt 3: 
A,B
106,14
Average Action: 
A,B
82.0,21.0
Total Gesture: 
A,B
509,561
Total Gesture Attempt 1: 
A,B
255,379
Total Gesture Attempt 2: 
A,B
98,25
Total Gesture Attempt 3: 
A,B
156,157
Average Gesture: 
A,B
169.66666666666666,187.0
Total Hand: 
Right,Left,Both
1072,298,9
Total Hand Attempt 1: 
Right,Left,Both
603,180,5
Total Hand Attempt 2: 
Right,Left,Both
117,40,1
Total Hand Attempt 3: 
Right,Left,Both
352,78,3
Average Hand: 
Right,Left,Both
357.3333333333333,99.33333333333333,3.0
Total Action: 
ShootFire_V1,ShootLightning_V1,ShootGust_V1,ShootEarthPrison_V1,ActivateEarthPrison_V1,ActivateShield_V1,ActivateRecover_V1,ShootFire_V2,ShootLightning_V2,ShootGust_V2,ShootEarthPrison_V2,ActivateEarthPrison_V2,ActivateShield_V2,ActivateRecover_V2
53,145,0,3,8,9,28,34,0,0,10,10,0,9
Total Action Attempt 1: 
ShootFire_V1,ShootLightning_V1,ShootGust_V1,ShootEarthPrison_V1,ActivateEarthPrison_V1,ActivateShield_V1,ActivateRecover_V1,ShootFire_V2,ShootLightning_V2,ShootGust_V2,ShootEarthPrison_V2,ActivateEarthPrison_V2,ActivateShield_V2,ActivateRecover_V2
9,68,0,1,6,7,16,24,0,0,10,8,0,5
Total Action Attempt 2: 
ShootFire_V1,ShootLightning_V1,ShootGust_V1,ShootEarthPrison_V1,ActivateEarthPrison_V1,ActivateShield_V1,ActivateRecover_V1,ShootFire_V2,ShootLightning_V2,ShootGust_V2,ShootEarthPrison_V2,ActivateEarthPrison_V2,ActivateShield_V2,ActivateRecover_V2
23,4,0,1,1,1,3,0,0,0,0,1,0,1
Total Action Attempt 3: 
ShootFire_V1,ShootLightning_V1,ShootGust_V1,ShootEarthPrison_V1,ActivateEarthPrison_V1,ActivateShield_V1,ActivateRecover_V1,ShootFire_V2,ShootLightning_V2,ShootGust_V2,ShootEarthPrison_V2,ActivateEarthPrison_V2,ActivateShield_V2,ActivateRecover_V2
21,73,0,1,1,1,9,10,0,0,0,1,0,3
Average Action: 
ShootFire_V1,ShootLightning_V1,ShootGust_V1,ShootEarthPrison_V1,ActivateEarthPrison_V1,ActivateShield_V1,ActivateRecover_V1,ShootFire_V2,ShootLightning_V2,ShootGust_V2,ShootEarthPrison_V2,ActivateEarthPrison_V2,ActivateShield_V2,ActivateRecover_V2
17.666666666666668,48.333333333333336,0.0,1.0,2.6666666666666665,3.0,9.333333333333334,11.333333333333334,0.0,0.0,3.3333333333333335,3.3333333333333335,0.0,3.0
Total Gesture: 
Aim_V1,Fire_V1,Lightning_V1,Gust_V1,EarthPrison_V1,Recover_V1,Shield_V1,ActivateFire_V2,ThrowFire_V2,Recover_V2,AimLightning_V2,ActivateLightning_V2,ActivateThrowEarthPrison_V2,ThrowEarthPrison_V2,ActivateActivationEarthPrison_V2,ThrowActivationEarthPrison_V2,ActivateGust_V2,ThrowGust_V2,Shield_V2
265,73,124,2,8,28,9,76,128,28,1,13,18,139,18,7,0,128,5
Total Gesture Attempt 1: 
Aim_V1,Fire_V1,Lightning_V1,Gust_V1,EarthPrison_V1,Recover_V1,Shield_V1,ActivateFire_V2,ThrowFire_V2,Recover_V2,AimLightning_V2,ActivateLightning_V2,ActivateThrowEarthPrison_V2,ThrowEarthPrison_V2,ActivateActivationEarthPrison_V2,ThrowActivationEarthPrison_V2,ActivateGust_V2,ThrowGust_V2,Shield_V2
124,15,85,2,6,16,7,51,84,16,1,10,18,94,12,6,0,84,3
Total Gesture Attempt 2: 
Aim_V1,Fire_V1,Lightning_V1,Gust_V1,EarthPrison_V1,Recover_V1,Shield_V1,ActivateFire_V2,ThrowFire_V2,Recover_V2,AimLightning_V2,ActivateLightning_V2,ActivateThrowEarthPrison_V2,ThrowEarthPrison_V2,ActivateActivationEarthPrison_V2,ThrowActivationEarthPrison_V2,ActivateGust_V2,ThrowGust_V2,Shield_V2
56,31,6,0,1,3,1,1,6,3,0,1,0,6,1,1,0,6,0
Total Gesture Attempt 3: 
Aim_V1,Fire_V1,Lightning_V1,Gust_V1,EarthPrison_V1,Recover_V1,Shield_V1,ActivateFire_V2,ThrowFire_V2,Recover_V2,AimLightning_V2,ActivateLightning_V2,ActivateThrowEarthPrison_V2,ThrowEarthPrison_V2,ActivateActivationEarthPrison_V2,ThrowActivationEarthPrison_V2,ActivateGust_V2,ThrowGust_V2,Shield_V2
85,27,33,0,1,9,1,24,38,9,0,2,0,39,5,0,0,38,2
Average Gesture: 
Aim_V1,Fire_V1,Lightning_V1,Gust_V1,EarthPrison_V1,Recover_V1,Shield_V1,ActivateFire_V2,ThrowFire_V2,Recover_V2,AimLightning_V2,ActivateLightning_V2,ActivateThrowEarthPrison_V2,ThrowEarthPrison_V2,ActivateActivationEarthPrison_V2,ThrowActivationEarthPrison_V2,ActivateGust_V2,ThrowGust_V2,Shield_V2
88.33333333333333,24.333333333333332,41.333333333333336,0.6666666666666666,2.6666666666666665,9.333333333333334,3.0,25.333333333333332,42.666666666666664,9.333333333333334,0.3333333333333333,4.333333333333333,6.0,46.333333333333336,6.0,2.3333333333333335,0.0,42.666666666666664,1.6666666666666667
Time Per Attempt
Attempt 1,Attempt 2,Attempt 3
10:09,02:39,05:39
