CallerHand,GestureInput,ActionExecuted,Time
RightHand,Aim_V1,,14:23:28.740750
RightHand,Lightning_V1,,14:23:29.187429
RightHand,,ShootLightning_V1,14:23:29.203520
RightHand,Aim_V1,,14:23:29.862131
RightHand,Lightning_V1,,14:23:30.229666
RightHand,,ShootLightning_V1,14:23:30.245454
RightHand,Aim_V1,,14:23:30.853279
RightHand,Lightning_V1,,14:23:31.303181
RightHand,,ShootLightning_V1,14:23:31.319609
RightHand,Aim_V1,,14:23:31.907757
RightHand,Lightning_V1,,14:23:32.602534
LeftHand,ActivateFire_V2,,14:23:40.569249
RightHand,ActivateFire_V2,,14:23:40.650717
RightHand,ThrowGust_V2,,14:23:41.185354
RightHand,ThrowFire_V2,,14:23:41.185416
RightHand,ThrowEarthPrison_V2,,14:23:41.185425
LeftHand,ThrowEarthPrison_V2,,14:23:41.200922
LeftHand,ThrowFire_V2,,14:23:41.200991
LeftHand,ThrowGust_V2,,14:23:41.201004
RightHand,,ShootFire_V2,14:23:41.699381
LeftHand,,ShootFire_V2,14:23:41.716262
LeftHand,Shield_V1,ActivateShield_V1,14:23:42.618845
RightHand,Shield_V1,ActivateShield_V1,14:23:42.844138
RightHand,Recover_V1,ActivateRecover_V1,14:24:16.320555
RightHand,Recover_V2,,14:24:16.320612
LeftHand,Recover_V2,,14:24:16.506578
Both,,ActivateRecover_V2,14:24:16.506877
LeftHand,Recover_V1,ActivateRecover_V1,14:24:16.506997
LeftHand,ActivateFire_V2,,14:24:21.101576
RightHand,ActivateFire_V2,,14:24:21.115123
LeftHand,ThrowEarthPrison_V2,,14:24:21.655933
LeftHand,ThrowFire_V2,,14:24:21.655999
LeftHand,ThrowGust_V2,,14:24:21.656010
RightHand,ThrowGust_V2,,14:24:21.685855
RightHand,ThrowFire_V2,,14:24:21.685917
RightHand,ThrowEarthPrison_V2,,14:24:21.685928
LeftHand,,ShootFire_V2,14:24:22.163485
RightHand,,ShootFire_V2,14:24:22.193652
LeftHand,Shield_V1,ActivateShield_V1,14:24:23.658525
RightHand,ActivateFire_V2,,14:24:30.918547
RightHand,ThrowGust_V2,,14:24:31.574797
RightHand,ThrowFire_V2,,14:24:31.574858
RightHand,ThrowEarthPrison_V2,,14:24:31.574868
RightHand,,ShootFire_V2,14:24:32.097431
RightHand,ActivateFire_V2,,14:24:33.330281
RightHand,ActivateFire_V2,,14:24:34.314782
RightHand,ActivateFire_V2,,14:24:34.996175
LeftHand,ActivateFire_V2,,14:24:35.710985
RightHand,ThrowGust_V2,,14:24:35.806459
RightHand,ThrowFire_V2,,14:24:35.806519
RightHand,ThrowEarthPrison_V2,,14:24:35.806531
RightHand,,ShootFire_V2,14:24:36.331616
RightHand,ActivateFire_V2,,14:24:37.062091
RightHand,ThrowGust_V2,,14:24:37.901708
RightHand,ThrowFire_V2,,14:24:37.901765
RightHand,ThrowEarthPrison_V2,,14:24:37.901776
RightHand,,ShootFire_V2,14:24:38.421123
RightHand,ActivateFire_V2,,14:24:41.811209
RightHand,ActivateFire_V2,,14:24:43.534787
LeftHand,ActivateFire_V2,,14:24:51.896205
LeftHand,Recover_V2,,14:24:54.753868
LeftHand,Recover_V1,ActivateRecover_V1,14:24:54.754238
RightHand,ActivateFire_V2,,14:24:58.764933
LeftHand,ThrowActivationEarthPrison_V2,,14:24:58.875061
LeftHand,ActivateLightning_V2,,14:25:00.141289
RightHand,ActivateFire_V2,,14:25:00.925353
LeftHand,ActivateLightning_V2,,14:25:01.668175
RightHand,ThrowGust_V2,,14:25:03.064923
RightHand,ThrowFire_V2,,14:25:03.064986
RightHand,ThrowEarthPrison_V2,,14:25:03.064997
RightHand,,ShootFire_V2,14:25:03.580950
RightHand,Aim_V1,,14:25:07.187195
RightHand,ActivateActivationEarthPrison_V2,,14:25:08.074745
LeftHand,ActivateLightning_V2,,14:25:09.640170
RightHand,ActivateFire_V2,,14:25:09.682802
LeftHand,ActivateFire_V2,,14:25:10.540930
RightHand,ActivateFire_V2,,14:25:10.653451
RightHand,ActivateFire_V2,,14:25:11.279325
LeftHand,ActivateFire_V2,,14:25:11.458381
LeftHand,ActivateFire_V2,,14:25:14.367255
