CallerHand,GestureInput,ActionExecuted,Time
RightHand,ActivateGust_V2,,13:06:08.316609
RightHand,Aim_V1,,13:06:08.763703
RightHand,Lightning_V1,,13:06:08.859098
RightHand,,ShootLightning_V1,13:06:08.878252
RightHand,,ShootLightning_V1,13:06:09.041578
RightHand,,ShootLightning_V1,13:06:09.219430
RightHand,,ShootLightning_V1,13:06:09.392498
RightHand,,ShootLightning_V1,13:06:09.575025
RightHand,Gust_V1,,13:06:09.707672
RightHand,Aim_V1,,13:06:10.876886
RightHand,Lightning_V1,,13:06:10.876956
RightHand,,ShootLightning_V1,13:06:11.004414
RightHand,Fire_V1,,13:06:20.526081
RightHand,,ShootFire_V1,13:06:20.637496
RightHand,Aim_V1,,13:06:20.887802
RightHand,Fire_V1,,13:06:22.406803
RightHand,,ShootFire_V1,13:06:22.517648
RightHand,Aim_V1,,13:06:23.443340
RightHand,Aim_V1,,13:06:25.228814
RightHand,Lightning_V1,,13:06:27.394566
RightHand,,ShootLightning_V1,13:06:27.515566
RightHand,Aim_V1,,13:06:27.889637
RightHand,Lightning_V1,,13:06:28.971301
RightHand,Aim_V1,,13:06:29.426684
RightHand,Aim_V1,,13:06:31.247535
RightHand,Aim_V1,,13:06:34.664939
RightHand,ThrowGust_V2,,13:06:35.997112
RightHand,ThrowFire_V2,,13:06:35.997168
RightHand,ThrowEarthPrison_V2,,13:06:35.997177
RightHand,Aim_V1,,13:06:36.319589
RightHand,Aim_V1,,13:06:41.600422
LeftHand,Recover_V1,ActivateRecover_V1,13:06:42.854657
LeftHand,Recover_V2,,13:06:42.870163
RightHand,Aim_V1,,13:06:52.737549
RightHand,Lightning_V1,,13:06:53.436664
RightHand,Aim_V1,,13:06:54.434950
RightHand,ActivateActivationEarthPrison_V2,,13:06:57.005840
RightHand,ActivateActivationEarthPrison_V2,,13:06:58.562732
RightHand,ActivateFire_V2,,13:07:04.047122
RightHand,ActivateFire_V2,,13:07:06.054771
RightHand,ActivateFire_V2,,13:07:07.068843
RightHand,ActivateActivationEarthPrison_V2,,13:07:08.708031
LeftHand,Recover_V2,,13:07:24.261437
LeftHand,Recover_V1,ActivateRecover_V1,13:07:24.261789
LeftHand,Recover_V2,,13:07:24.978490
LeftHand,Recover_V1,ActivateRecover_V1,13:07:24.978844
LeftHand,ThrowEarthPrison_V2,,13:07:35.477255
LeftHand,ThrowFire_V2,,13:07:35.477506
LeftHand,ThrowGust_V2,,13:07:35.477699
RightHand,Recover_V1,ActivateRecover_V1,13:07:42.808483
LeftHand,EarthPrison_V1,ActivateEarthPrison_V1,13:07:44.878511
RightHand,Lightning_V1,,13:07:46.878432
RightHand,ActivateActivationEarthPrison_V2,,13:07:47.758989
RightHand,ActivateActivationEarthPrison_V2,,13:07:49.255868
RightHand,ActivateFire_V2,,13:07:50.104416
LeftHand,Recover_V2,,13:07:57.478562
LeftHand,Recover_V1,ActivateRecover_V1,13:07:57.478962
LeftHand,Recover_V2,,13:08:02.110172
LeftHand,Recover_V1,ActivateRecover_V1,13:08:02.110535
RightHand,ActivateActivationEarthPrison_V2,,13:08:17.637572
RightHand,ActivateFire_V2,,13:08:18.544133
RightHand,ActivateActivationEarthPrison_V2,,13:08:23.377072
LeftHand,ActivateActivationEarthPrison_V2,,13:08:25.991500
LeftHand,Recover_V1,ActivateRecover_V1,13:08:26.060392
LeftHand,Recover_V2,,13:08:26.088184
RightHand,ActivateActivationEarthPrison_V2,,13:08:28.067672
LeftHand,Recover_V1,ActivateRecover_V1,13:08:29.153341
LeftHand,Recover_V2,,13:08:29.167724
RightHand,Recover_V1,ActivateRecover_V1,13:08:29.402428
RightHand,Recover_V2,,13:08:29.402773
Both,,ActivateRecover_V2,13:08:29.403122
RightHand,Recover_V1,ActivateRecover_V1,13:08:32.937953
RightHand,Recover_V2,,13:08:32.938004
LeftHand,EarthPrison_V1,ActivateEarthPrison_V1,13:08:35.110348
RightHand,ActivateActivationEarthPrison_V2,,13:08:38.769652
RightHand,ActivateActivationEarthPrison_V2,,13:08:39.969396
RightHand,ActivateFire_V2,,13:08:40.896062
LeftHand,Recover_V2,,13:08:42.307292
LeftHand,Recover_V1,ActivateRecover_V1,13:08:42.307660
RightHand,Recover_V1,ActivateRecover_V1,13:08:44.411548
RightHand,Recover_V2,,13:08:44.411602
LeftHand,Recover_V2,,13:08:45.355611
Both,,ActivateRecover_V2,13:08:45.355927
LeftHand,Recover_V1,ActivateRecover_V1,13:08:45.356058
LeftHand,Recover_V2,,13:08:47.010238
Both,,ActivateRecover_V2,13:08:47.010552
LeftHand,Recover_V1,ActivateRecover_V1,13:08:47.010669
