CallerHand,GestureInput,ActionExecuted,Time
RightHand,Aim_V1,,16:23:47.249344
LeftHand,Aim_V1,,16:23:48.208985
LeftHand,Aim_V1,,16:23:54.618450
LeftHand,Aim_V1,,16:23:57.570473
RightHand,Aim_V1,,16:24:01.139692
RightHand,Fire_V1,,16:24:03.729365
RightHand,,ShootFire_V1,16:24:03.837831
RightHand,Aim_V1,,16:24:04.301697
LeftHand,Aim_V1,,16:24:04.362887
LeftHand,Aim_V1,,16:24:05.459749
RightHand,Aim_V1,,16:24:05.511834
RightHand,Fire_V1,,16:24:06.264260
RightHand,,ShootFire_V1,16:24:06.362971
RightHand,Aim_V1,,16:24:06.770394
LeftHand,Aim_V1,,16:24:07.432690
RightHand,Fire_V1,,16:24:07.505266
RightHand,,ShootFire_V1,16:24:07.610107
RightHand,Aim_V1,,16:24:08.073462
RightHand,Fire_V1,,16:24:09.020661
RightHand,,ShootFire_V1,16:24:09.131519
RightHand,Aim_V1,,16:24:09.560991
RightHand,Fire_V1,,16:24:10.847516
RightHand,,ShootFire_V1,16:24:10.959601
LeftHand,Aim_V1,,16:24:11.170645
RightHand,Aim_V1,,16:24:11.202982
RightHand,Fire_V1,,16:24:11.514498
RightHand,,ShootFire_V1,16:24:11.626217
LeftHand,Aim_V1,,16:24:11.672808
RightHand,Aim_V1,,16:24:11.725154
LeftHand,Fire_V1,,16:24:11.920686
RightHand,Fire_V1,,16:24:11.920796
RightHand,,ShootFire_V1,16:24:12.025634
LeftHand,,ShootFire_V1,16:24:12.025846
RightHand,Aim_V1,,16:24:12.093342
RightHand,Fire_V1,,16:24:12.220725
LeftHand,Aim_V1,,16:24:12.410791
RightHand,Aim_V1,,16:24:12.444257
RightHand,Fire_V1,,16:24:12.573488
LeftHand,Aim_V1,,16:24:12.750914
RightHand,Aim_V1,,16:24:12.773234
RightHand,Aim_V1,,16:24:27.486317
LeftHand,Aim_V1,,16:24:29.145680
RightHand,ThrowGust_V2,,16:24:33.024572
RightHand,ThrowFire_V2,,16:24:33.024664
RightHand,ThrowEarthPrison_V2,,16:24:33.024677
RightHand,Lightning_V1,,16:24:40.023008
LeftHand,ThrowEarthPrison_V2,,16:24:41.057141
LeftHand,ThrowFire_V2,,16:24:41.057206
LeftHand,ThrowGust_V2,,16:24:41.057216
LeftHand,ThrowEarthPrison_V2,,16:24:44.204175
LeftHand,ThrowFire_V2,,16:24:44.204238
LeftHand,ThrowGust_V2,,16:24:44.204249
RightHand,Shield_V1,ActivateShield_V1,16:24:55.664978
