CallerHand,GestureInput,ActionExecuted,Time
RightHand,,ShootLightning_V1,15:49:25.113561
LeftHand,ThrowEarthPrison_V2,,15:49:26.926289
LeftHand,ThrowFire_V2,,15:49:26.926355
LeftHand,ThrowGust_V2,,15:49:26.926367
RightHand,Aim_V1,,15:49:28.849027
LeftHand,ThrowEarthPrison_V2,,15:49:35.975001
LeftHand,ThrowFire_V2,,15:49:35.975065
LeftHand,ThrowGust_V2,,15:49:35.975074
LeftHand,ActivateFire_V2,,15:49:40.464109
RightHand,ActivateFire_V2,,15:49:44.085940
LeftHand,ThrowEarthPrison_V2,,15:49:44.228170
LeftHand,ThrowFire_V2,,15:49:44.228317
LeftHand,ThrowGust_V2,,15:49:44.228339
LeftHand,,ShootFire_V2,15:49:44.723524
LeftHand,ActivateFire_V2,,15:49:45.453443
RightHand,ThrowGust_V2,,15:49:46.712197
RightHand,ThrowFire_V2,,15:49:46.712253
RightHand,ThrowEarthPrison_V2,,15:49:46.712267
RightHand,,ShootFire_V2,15:49:47.255733
RightHand,ActivateFire_V2,,15:49:47.956081
RightHand,ThrowGust_V2,,15:49:49.102165
RightHand,ThrowFire_V2,,15:49:49.102226
RightHand,ThrowEarthPrison_V2,,15:49:49.102235
RightHand,,ShootFire_V2,15:49:49.634423
RightHand,ActivateFire_V2,,15:49:50.205728
RightHand,ThrowGust_V2,,15:49:52.403419
RightHand,ThrowFire_V2,,15:49:52.403478
RightHand,ThrowEarthPrison_V2,,15:49:52.403487
RightHand,,ShootFire_V2,15:49:52.916335
LeftHand,ThrowEarthPrison_V2,,15:49:58.833845
LeftHand,ThrowFire_V2,,15:49:58.833913
LeftHand,ThrowGust_V2,,15:49:58.833921
RightHand,Aim_V1,,15:50:00.191276
RightHand,Lightning_V1,,15:50:02.471784
RightHand,,ShootLightning_V1,15:50:02.605709
RightHand,Aim_V1,,15:50:02.734371
RightHand,Lightning_V1,,15:50:03.808027
RightHand,,ShootLightning_V1,15:50:03.842124
RightHand,Aim_V1,,15:50:04.005379
LeftHand,ThrowEarthPrison_V2,,15:50:06.768154
LeftHand,ThrowFire_V2,,15:50:06.768220
LeftHand,ThrowGust_V2,,15:50:06.768230
RightHand,ThrowGust_V2,,15:50:06.837950
RightHand,ThrowFire_V2,,15:50:06.838013
RightHand,ThrowEarthPrison_V2,,15:50:06.838022
RightHand,Aim_V1,,15:50:08.627159
RightHand,Lightning_V1,,15:50:09.822751
RightHand,,ShootLightning_V1,15:50:09.836845
RightHand,Aim_V1,,15:50:10.045586
RightHand,Lightning_V1,,15:50:11.125642
RightHand,,ShootLightning_V1,15:50:11.137537
RightHand,Aim_V1,,15:50:11.493469
RightHand,Lightning_V1,,15:50:12.409686
RightHand,,ShootLightning_V1,15:50:12.423925
RightHand,Aim_V1,,15:50:12.652010
LeftHand,ThrowEarthPrison_V2,,15:50:13.345352
LeftHand,ThrowFire_V2,,15:50:13.345428
LeftHand,ThrowGust_V2,,15:50:13.345439
RightHand,Aim_V1,,15:50:14.337200
RightHand,Aim_V1,,15:50:15.391720
RightHand,Aim_V1,,15:50:16.104619
RightHand,Aim_V1,,15:50:16.950916
RightHand,Lightning_V1,,15:50:18.699963
RightHand,,ShootLightning_V1,15:50:18.733417
RightHand,Aim_V1,,15:50:19.165124
RightHand,Lightning_V1,,15:50:19.465282
RightHand,,ShootLightning_V1,15:50:19.601192
RightHand,Aim_V1,,15:50:19.796706
LeftHand,ThrowEarthPrison_V2,,15:50:20.515844
LeftHand,ThrowFire_V2,,15:50:20.515910
LeftHand,ThrowGust_V2,,15:50:20.515920
RightHand,ThrowGust_V2,,15:50:21.039729
RightHand,ThrowFire_V2,,15:50:21.039788
RightHand,ThrowEarthPrison_V2,,15:50:21.039797
RightHand,ThrowGust_V2,,15:50:23.179796
RightHand,ThrowFire_V2,,15:50:23.179854
RightHand,ThrowEarthPrison_V2,,15:50:23.179864
LeftHand,ThrowEarthPrison_V2,,15:50:24.457741
LeftHand,ThrowFire_V2,,15:50:24.457808
LeftHand,ThrowGust_V2,,15:50:24.457817
LeftHand,ThrowEarthPrison_V2,,15:50:29.992903
LeftHand,ThrowFire_V2,,15:50:29.992991
LeftHand,ThrowGust_V2,,15:50:29.993004
RightHand,Aim_V1,,15:50:31.975799
LeftHand,ThrowEarthPrison_V2,,15:50:32.120917
LeftHand,ThrowFire_V2,,15:50:32.120988
LeftHand,ThrowGust_V2,,15:50:32.120999
RightHand,Lightning_V1,,15:50:33.100883
RightHand,,ShootLightning_V1,15:50:33.234581
RightHand,Aim_V1,,15:50:33.512364
RightHand,Lightning_V1,,15:50:34.303123
RightHand,,ShootLightning_V1,15:50:34.326302
RightHand,Aim_V1,,15:50:34.649013
RightHand,Lightning_V1,,15:50:35.139822
RightHand,,ShootLightning_V1,15:50:35.161795
RightHand,,ShootLightning_V1,15:50:35.345719
RightHand,Lightning_V1,,15:50:36.252967
RightHand,,ShootLightning_V1,15:50:36.275515
RightHand,Lightning_V1,,15:50:37.222004
RightHand,,ShootLightning_V1,15:50:37.244725
RightHand,EarthPrison_V1,ActivateEarthPrison_V1,15:50:37.879407
RightHand,ThrowGust_V2,,15:50:37.953694
RightHand,ThrowFire_V2,,15:50:37.953752
RightHand,ThrowEarthPrison_V2,,15:50:37.953762
RightHand,,ShootEarthPrison_V1,15:50:37.987610
LeftHand,ActivateFire_V2,,15:50:40.089793
LeftHand,ThrowEarthPrison_V2,,15:50:40.875405
LeftHand,ThrowFire_V2,,15:50:40.875463
LeftHand,ThrowGust_V2,,15:50:40.875473
LeftHand,ActivateFire_V2,,15:50:41.510495
LeftHand,ActivateFire_V2,,15:50:43.332796
LeftHand,ActivateFire_V2,,15:50:45.803082
RightHand,ActivateLightning_V2,,15:50:46.511692
RightHand,ActivateLightning_V2,,15:50:47.891632
RightHand,ThrowEarthPrison_V2,,15:50:48.438392
LeftHand,ThrowEarthPrison_V2,,15:50:49.507102
LeftHand,ThrowFire_V2,,15:50:49.507166
LeftHand,ThrowGust_V2,,15:50:49.507175
RightHand,ActivateFire_V2,,15:50:50.421096
LeftHand,ActivateFire_V2,,15:50:50.955679
LeftHand,ActivateFire_V2,,15:50:57.504617
RightHand,ActivateLightning_V2,,15:50:58.807217
LeftHand,ActivateFire_V2,,15:50:58.941842
LeftHand,ActivateFire_V2,,15:50:59.899253
LeftHand,ActivateActivationEarthPrison_V2,,15:51:04.666842
RightHand,ActivateActivationEarthPrison_V2,,15:51:04.800835
RightHand,ActivateFire_V2,,15:51:06.364572
RightHand,ThrowEarthPrison_V2,,15:51:06.452334
RightHand,,ActivateEarthPrison_V2,15:51:06.570918
LeftHand,ActivateFire_V2,,15:51:11.098206
RightHand,ActivateFire_V2,,15:51:11.270899
LeftHand,ActivateFire_V2,,15:51:13.136090
RightHand,Aim_V1,,15:51:17.262438
RightHand,Lightning_V1,,15:51:18.331699
RightHand,,ShootLightning_V1,15:51:18.465518
RightHand,Aim_V1,,15:51:18.742675
RightHand,Lightning_V1,,15:51:19.345204
RightHand,,ShootLightning_V1,15:51:19.379262
RightHand,Aim_V1,,15:51:19.709159
RightHand,Aim_V1,,15:51:20.985068
RightHand,Lightning_V1,,15:51:21.949797
RightHand,,ShootLightning_V1,15:51:21.983528
RightHand,Aim_V1,,15:51:23.377140
RightHand,Lightning_V1,,15:51:24.468646
RightHand,,ShootLightning_V1,15:51:24.585694
RightHand,Aim_V1,,15:51:25.091860
RightHand,Lightning_V1,,15:51:25.582874
RightHand,,ShootLightning_V1,15:51:25.600404
RightHand,Aim_V1,,15:51:26.182804
RightHand,Lightning_V1,,15:51:26.311201
RightHand,,ShootLightning_V1,15:51:26.329178
RightHand,ThrowGust_V2,,15:51:26.585596
RightHand,ThrowFire_V2,,15:51:26.585655
RightHand,ThrowEarthPrison_V2,,15:51:26.585665
RightHand,Aim_V1,,15:51:27.980959
LeftHand,ActivateFire_V2,,15:51:27.981774
RightHand,Lightning_V1,,15:51:28.823053
RightHand,,ShootLightning_V1,15:51:28.837122
RightHand,Aim_V1,,15:51:29.359247
LeftHand,ActivateActivationEarthPrison_V2,,15:51:32.975287
LeftHand,EarthPrison_V1,ActivateEarthPrison_V1,15:51:34.076670
LeftHand,ActivateFire_V2,,15:51:34.433222
LeftHand,Recover_V2,,15:51:36.138773
LeftHand,Recover_V1,ActivateRecover_V1,15:51:36.139138
RightHand,Recover_V1,ActivateRecover_V1,15:51:36.203482
RightHand,Recover_V2,,15:51:36.203540
Both,,ActivateRecover_V2,15:51:36.203615
RightHand,Recover_V1,ActivateRecover_V1,15:51:38.291975
RightHand,Recover_V2,,15:51:38.292024
Both,,ActivateRecover_V2,15:51:38.292112
LeftHand,ActivateFire_V2,,15:51:53.251562
RightHand,ActivateFire_V2,,15:51:54.145425
LeftHand,ThrowEarthPrison_V2,,15:51:54.261711
LeftHand,ThrowFire_V2,,15:51:54.261778
LeftHand,ThrowGust_V2,,15:51:54.261788
LeftHand,ActivateFire_V2,,15:51:54.842240
RightHand,ThrowGust_V2,,15:51:55.498838
RightHand,ThrowFire_V2,,15:51:55.498901
RightHand,ThrowEarthPrison_V2,,15:51:55.498910
RightHand,,ShootFire_V2,15:51:56.006820
RightHand,ActivateFire_V2,,15:51:56.224303
RightHand,ThrowGust_V2,,15:51:57.137029
RightHand,ThrowFire_V2,,15:51:57.137100
RightHand,ThrowEarthPrison_V2,,15:51:57.137110
RightHand,,ShootFire_V2,15:51:57.653340
RightHand,ActivateFire_V2,,15:51:58.056785
RightHand,ThrowGust_V2,,15:51:58.982300
RightHand,ThrowFire_V2,,15:51:58.982356
RightHand,ThrowEarthPrison_V2,,15:51:58.982365
RightHand,,ShootFire_V2,15:51:59.491267
RightHand,ActivateFire_V2,,15:52:00.030216
RightHand,ThrowGust_V2,,15:52:01.112441
RightHand,ThrowFire_V2,,15:52:01.112498
RightHand,ThrowEarthPrison_V2,,15:52:01.112508
RightHand,,ShootFire_V2,15:52:01.624897
RightHand,ActivateFire_V2,,15:52:02.214110
RightHand,ThrowGust_V2,,15:52:03.082278
RightHand,ThrowFire_V2,,15:52:03.082338
RightHand,ThrowEarthPrison_V2,,15:52:03.082350
RightHand,,ShootFire_V2,15:52:03.584603
RightHand,Lightning_V1,,15:52:06.391458
RightHand,Aim_V1,,15:52:06.603294
RightHand,Lightning_V1,,15:52:07.467379
RightHand,,ShootLightning_V1,15:52:07.482787
RightHand,Aim_V1,,15:52:07.828333
RightHand,Lightning_V1,,15:52:08.619188
RightHand,,ShootLightning_V1,15:52:08.634188
RightHand,Aim_V1,,15:52:08.997798
RightHand,Lightning_V1,,15:52:10.929802
RightHand,,ShootLightning_V1,15:52:10.947180
RightHand,Aim_V1,,15:52:11.334514
LeftHand,ThrowEarthPrison_V2,,15:52:12.131145
LeftHand,ThrowFire_V2,,15:52:12.131212
LeftHand,ThrowGust_V2,,15:52:12.131222
LeftHand,ThrowEarthPrison_V2,,15:52:16.237906
LeftHand,ThrowFire_V2,,15:52:16.237974
LeftHand,ThrowGust_V2,,15:52:16.237984
LeftHand,ThrowEarthPrison_V2,,15:52:21.271750
LeftHand,ThrowFire_V2,,15:52:21.271819
LeftHand,ThrowGust_V2,,15:52:21.271835
RightHand,ThrowGust_V2,,15:52:21.438954
RightHand,ThrowFire_V2,,15:52:21.439016
RightHand,ThrowEarthPrison_V2,,15:52:21.439026
RightHand,ThrowGust_V2,,15:52:23.052758
RightHand,ThrowFire_V2,,15:52:23.052824
RightHand,ThrowEarthPrison_V2,,15:52:23.052834
LeftHand,ThrowEarthPrison_V2,,15:52:23.341031
LeftHand,ThrowFire_V2,,15:52:23.341100
LeftHand,ThrowGust_V2,,15:52:23.341110
LeftHand,ThrowEarthPrison_V2,,15:52:25.294819
LeftHand,ThrowFire_V2,,15:52:25.294889
LeftHand,ThrowGust_V2,,15:52:25.294897
RightHand,ThrowGust_V2,,15:52:25.364537
RightHand,ThrowFire_V2,,15:52:25.364625
RightHand,ThrowEarthPrison_V2,,15:52:25.364635
LeftHand,ActivateFire_V2,,15:52:28.545585
RightHand,ActivateFire_V2,,15:52:28.567838
RightHand,ThrowGust_V2,,15:52:29.665259
RightHand,ThrowFire_V2,,15:52:29.665319
RightHand,ThrowEarthPrison_V2,,15:52:29.665329
RightHand,,ShootFire_V2,15:52:30.166192
LeftHand,ThrowEarthPrison_V2,,15:52:30.925248
LeftHand,ThrowFire_V2,,15:52:30.925313
LeftHand,ThrowGust_V2,,15:52:30.925323
LeftHand,,ShootFire_V2,15:52:31.430180
RightHand,ActivateFire_V2,,15:52:31.528989
LeftHand,ActivateFire_V2,,15:52:31.742774
RightHand,ThrowGust_V2,,15:52:32.495152
RightHand,ThrowFire_V2,,15:52:32.495224
RightHand,ThrowEarthPrison_V2,,15:52:32.495233
RightHand,,ShootFire_V2,15:52:33.030578
RightHand,ActivateFire_V2,,15:52:33.768764
RightHand,ActivateFire_V2,,15:52:41.443493
LeftHand,ActivateFire_V2,,15:52:42.151728
RightHand,ThrowGust_V2,,15:52:42.761979
RightHand,ThrowFire_V2,,15:52:42.762035
RightHand,ThrowEarthPrison_V2,,15:52:42.762044
RightHand,,ShootFire_V2,15:52:43.269702
RightHand,ActivateFire_V2,,15:52:44.171986
LeftHand,ActivateFire_V2,,15:52:44.559815
RightHand,ThrowGust_V2,,15:52:48.270063
RightHand,ThrowFire_V2,,15:52:48.270122
RightHand,ThrowEarthPrison_V2,,15:52:48.270130
RightHand,,ShootFire_V2,15:52:48.798348
RightHand,ActivateFire_V2,,15:52:49.162336
RightHand,ThrowGust_V2,,15:52:50.096668
RightHand,ThrowFire_V2,,15:52:50.096725
RightHand,ThrowEarthPrison_V2,,15:52:50.096736
RightHand,ActivateFire_V2,,15:52:50.852567
LeftHand,ActivateFire_V2,,15:52:51.378184
RightHand,ActivateFire_V2,,15:52:51.511982
LeftHand,ActivateFire_V2,,15:52:52.537273
RightHand,Recover_V1,ActivateRecover_V1,15:52:54.240760
LeftHand,Recover_V2,,15:52:54.284269
LeftHand,Recover_V1,ActivateRecover_V1,15:52:54.284819
LeftHand,ActivateFire_V2,,15:53:02.648937
LeftHand,ThrowEarthPrison_V2,,15:53:04.716287
LeftHand,ThrowFire_V2,,15:53:04.716347
LeftHand,ThrowGust_V2,,15:53:04.716357
LeftHand,ActivateFire_V2,,15:53:05.322541
RightHand,ActivateFire_V2,,15:53:05.975660
LeftHand,ThrowEarthPrison_V2,,15:53:06.048293
LeftHand,ThrowFire_V2,,15:53:06.048361
LeftHand,ThrowGust_V2,,15:53:06.048370
LeftHand,ActivateFire_V2,,15:53:06.692605
RightHand,ThrowGust_V2,,15:53:07.115476
RightHand,ThrowFire_V2,,15:53:07.115539
RightHand,ThrowEarthPrison_V2,,15:53:07.115548
RightHand,ActivateFire_V2,,15:53:08.723160
RightHand,ThrowGust_V2,,15:53:15.334980
RightHand,ThrowFire_V2,,15:53:15.335043
RightHand,ThrowEarthPrison_V2,,15:53:15.335053
RightHand,,ShootFire_V2,15:53:15.842059
RightHand,ActivateFire_V2,,15:53:16.123914
RightHand,ThrowGust_V2,,15:53:16.972656
RightHand,ThrowFire_V2,,15:53:16.972715
RightHand,ThrowEarthPrison_V2,,15:53:16.972723
RightHand,,ShootFire_V2,15:53:17.462496
RightHand,ActivateFire_V2,,15:53:17.904550
RightHand,ThrowGust_V2,,15:53:19.039019
RightHand,ThrowFire_V2,,15:53:19.039076
RightHand,ThrowEarthPrison_V2,,15:53:19.039084
RightHand,,ShootFire_V2,15:53:19.548551
RightHand,ActivateFire_V2,,15:53:20.422332
RightHand,ThrowGust_V2,,15:53:21.626497
RightHand,ThrowFire_V2,,15:53:21.626556
RightHand,ThrowEarthPrison_V2,,15:53:21.626565
RightHand,,ShootFire_V2,15:53:22.124440
RightHand,ActivateFire_V2,,15:53:23.156186
RightHand,ThrowGust_V2,,15:53:25.726722
RightHand,ThrowFire_V2,,15:53:25.726779
RightHand,ThrowEarthPrison_V2,,15:53:25.726788
LeftHand,ThrowEarthPrison_V2,,15:53:25.863366
LeftHand,ThrowFire_V2,,15:53:25.863436
LeftHand,ThrowGust_V2,,15:53:25.863448
RightHand,,ShootFire_V2,15:53:26.221901
RightHand,ActivateFire_V2,,15:53:26.427587
LeftHand,ActivateFire_V2,,15:53:26.451214
RightHand,ThrowGust_V2,,15:53:26.929975
RightHand,ThrowFire_V2,,15:53:26.930035
RightHand,ThrowEarthPrison_V2,,15:53:26.930043
LeftHand,ThrowEarthPrison_V2,,15:53:26.977491
LeftHand,ThrowFire_V2,,15:53:26.977548
LeftHand,ThrowGust_V2,,15:53:26.977558
LeftHand,ActivateFire_V2,,15:53:28.250750
LeftHand,Recover_V2,,15:53:28.889936
LeftHand,Recover_V1,ActivateRecover_V1,15:53:28.890305
LeftHand,Recover_V2,,15:53:30.260221
LeftHand,Recover_V1,ActivateRecover_V1,15:53:30.260603
LeftHand,ActivateFire_V2,,15:53:30.806209
RightHand,ActivateFire_V2,,15:53:31.040081
RightHand,ThrowGust_V2,,15:53:31.340169
RightHand,ThrowFire_V2,,15:53:31.340225
RightHand,ThrowEarthPrison_V2,,15:53:31.340233
RightHand,,ShootFire_V2,15:53:31.840800
LeftHand,ThrowEarthPrison_V2,,15:53:32.137998
LeftHand,ThrowFire_V2,,15:53:32.138077
LeftHand,ThrowGust_V2,,15:53:32.138088
RightHand,ActivateFire_V2,,15:53:32.633086
LeftHand,ActivateFire_V2,,15:53:32.633487
RightHand,ThrowGust_V2,,15:53:33.557313
RightHand,ThrowFire_V2,,15:53:33.557374
RightHand,ThrowEarthPrison_V2,,15:53:33.557382
