CallerHand,GestureInput,ActionExecuted,Time
RightHand,ThrowGust_V2,,15:30:34.388301
RightHand,ThrowFire_V2,,15:30:34.388365
RightHand,ThrowEarthPrison_V2,,15:30:34.388375
LeftHand,ThrowEarthPrison_V2,,15:30:36.667524
LeftHand,ThrowFire_V2,,15:30:36.667597
LeftHand,ThrowGust_V2,,15:30:36.667612
LeftHand,ThrowEarthPrison_V2,,15:30:48.149560
LeftHand,ThrowFire_V2,,15:30:48.149636
LeftHand,ThrowGust_V2,,15:30:48.149646
RightHand,ThrowGust_V2,,15:30:53.080687
RightHand,ThrowFire_V2,,15:30:53.080758
RightHand,ThrowEarthPrison_V2,,15:30:53.080768
LeftHand,ThrowEarthPrison_V2,,15:30:54.634008
LeftHand,ThrowFire_V2,,15:30:54.634076
LeftHand,ThrowGust_V2,,15:30:54.634086
LeftHand,EarthPrison_V1,ActivateEarthPrison_V1,15:31:03.043359
RightHand,ActivateFire_V2,,15:31:06.324392
RightHand,ThrowGust_V2,,15:31:07.279046
RightHand,ThrowFire_V2,,15:31:07.279110
RightHand,ThrowEarthPrison_V2,,15:31:07.279121
RightHand,,ShootFire_V2,15:31:07.787778
LeftHand,ThrowEarthPrison_V2,,15:31:10.844497
LeftHand,ThrowFire_V2,,15:31:10.844569
LeftHand,ThrowGust_V2,,15:31:10.844584
LeftHand,ThrowEarthPrison_V2,,15:31:14.225240
LeftHand,ThrowFire_V2,,15:31:14.225310
LeftHand,ThrowGust_V2,,15:31:14.225320
LeftHand,ActivateFire_V2,,15:31:16.679397
LeftHand,ThrowEarthPrison_V2,,15:31:17.516522
LeftHand,ThrowFire_V2,,15:31:17.516591
LeftHand,ThrowGust_V2,,15:31:17.516601
LeftHand,,ShootFire_V2,15:31:18.028940
LeftHand,ThrowEarthPrison_V2,,15:31:19.101061
LeftHand,ThrowFire_V2,,15:31:19.101138
LeftHand,ThrowGust_V2,,15:31:19.101148
LeftHand,ActivateFire_V2,,15:31:20.569348
LeftHand,ThrowEarthPrison_V2,,15:31:22.158108
LeftHand,ThrowFire_V2,,15:31:22.158175
LeftHand,ThrowGust_V2,,15:31:22.158184
LeftHand,,ShootFire_V2,15:31:22.663108
LeftHand,ActivateFire_V2,,15:31:23.872399
LeftHand,ThrowEarthPrison_V2,,15:31:25.047756
LeftHand,ThrowFire_V2,,15:31:25.047821
LeftHand,ThrowGust_V2,,15:31:25.047831
LeftHand,,ShootFire_V2,15:31:25.557606
LeftHand,ActivateFire_V2,,15:31:29.443273
LeftHand,ActivateFire_V2,,15:31:30.261469
LeftHand,ThrowEarthPrison_V2,,15:31:31.203649
LeftHand,ThrowFire_V2,,15:31:31.203711
LeftHand,ThrowGust_V2,,15:31:31.203721
LeftHand,ActivateLightning_V2,,15:31:31.646615
LeftHand,,ShootFire_V2,15:31:31.714743
LeftHand,ActivateFire_V2,,15:31:32.143582
LeftHand,ThrowEarthPrison_V2,,15:31:33.006661
LeftHand,ThrowFire_V2,,15:31:33.006722
LeftHand,ThrowGust_V2,,15:31:33.006732
LeftHand,,ShootFire_V2,15:31:33.520845
RightHand,ThrowGust_V2,,15:31:35.253177
RightHand,ThrowFire_V2,,15:31:35.253232
RightHand,ThrowEarthPrison_V2,,15:31:35.253241
LeftHand,ThrowEarthPrison_V2,,15:31:35.552895
LeftHand,ThrowFire_V2,,15:31:35.552955
LeftHand,ThrowGust_V2,,15:31:35.552964
LeftHand,ActivateFire_V2,,15:31:36.652913
LeftHand,ThrowEarthPrison_V2,,15:31:37.452360
LeftHand,ThrowFire_V2,,15:31:37.452432
LeftHand,ThrowGust_V2,,15:31:37.452442
RightHand,ActivateFire_V2,,15:31:43.373841
RightHand,ThrowGust_V2,,15:31:45.188820
RightHand,ThrowFire_V2,,15:31:45.188885
RightHand,ThrowEarthPrison_V2,,15:31:45.188896
RightHand,,ShootFire_V2,15:31:45.701216
LeftHand,ThrowEarthPrison_V2,,15:31:48.412674
LeftHand,ThrowFire_V2,,15:31:48.412747
LeftHand,ThrowGust_V2,,15:31:48.412756
RightHand,Gust_V1,,15:31:53.134849
RightHand,Shield_V2,,15:31:54.445028
RightHand,ThrowGust_V2,,15:31:54.445064
RightHand,ThrowFire_V2,,15:31:54.445117
RightHand,ThrowEarthPrison_V2,,15:31:54.445126
LeftHand,ThrowEarthPrison_V2,,15:32:02.415686
LeftHand,ThrowFire_V2,,15:32:02.415752
LeftHand,ThrowGust_V2,,15:32:02.415761
RightHand,ThrowGust_V2,,15:32:02.722198
RightHand,ThrowFire_V2,,15:32:02.722271
RightHand,ThrowEarthPrison_V2,,15:32:02.722281
LeftHand,ThrowEarthPrison_V2,,15:32:06.216780
LeftHand,ThrowFire_V2,,15:32:06.216852
LeftHand,ThrowGust_V2,,15:32:06.216862
RightHand,ThrowGust_V2,,15:32:06.272120
RightHand,ThrowFire_V2,,15:32:06.272191
RightHand,ThrowEarthPrison_V2,,15:32:06.272202
RightHand,ThrowGust_V2,,15:32:35.936315
RightHand,ThrowFire_V2,,15:32:35.936383
RightHand,ThrowEarthPrison_V2,,15:32:35.936392
RightHand,ActivateFire_V2,,15:32:37.885431
RightHand,ThrowGust_V2,,15:32:38.677587
RightHand,ThrowFire_V2,,15:32:38.677646
RightHand,ThrowEarthPrison_V2,,15:32:38.677656
RightHand,,ShootFire_V2,15:32:39.196625
RightHand,ActivateFire_V2,,15:32:40.475689
RightHand,ThrowGust_V2,,15:32:41.256652
RightHand,ThrowFire_V2,,15:32:41.256736
RightHand,ThrowEarthPrison_V2,,15:32:41.256746
RightHand,,ShootFire_V2,15:32:41.769627
RightHand,ActivateFire_V2,,15:32:42.990785
RightHand,ThrowGust_V2,,15:32:43.622012
RightHand,ThrowFire_V2,,15:32:43.622070
RightHand,ThrowEarthPrison_V2,,15:32:43.622078
RightHand,,ShootFire_V2,15:32:44.141735
RightHand,ActivateFire_V2,,15:32:46.057958
RightHand,ThrowGust_V2,,15:32:46.896485
RightHand,ThrowFire_V2,,15:32:46.896548
RightHand,ThrowEarthPrison_V2,,15:32:46.896557
RightHand,,ShootFire_V2,15:32:47.410394
RightHand,ActivateFire_V2,,15:32:48.581018
RightHand,ThrowGust_V2,,15:32:49.274940
RightHand,ThrowFire_V2,,15:32:49.275000
RightHand,ThrowEarthPrison_V2,,15:32:49.275012
RightHand,,ShootFire_V2,15:32:49.802299
RightHand,ActivateFire_V2,,15:32:51.610488
RightHand,ThrowGust_V2,,15:32:52.713532
RightHand,ThrowFire_V2,,15:32:52.713595
RightHand,ThrowEarthPrison_V2,,15:32:52.713604
LeftHand,ThrowEarthPrison_V2,,15:32:52.812440
LeftHand,ThrowFire_V2,,15:32:52.812504
LeftHand,ThrowGust_V2,,15:32:52.812513
RightHand,,ShootFire_V2,15:32:53.228155
RightHand,ActivateFire_V2,,15:32:55.422539
RightHand,ThrowGust_V2,,15:32:57.621152
RightHand,ThrowFire_V2,,15:32:57.621213
RightHand,ThrowEarthPrison_V2,,15:32:57.621222
RightHand,,ShootFire_V2,15:32:58.152852
RightHand,ActivateFire_V2,,15:33:00.276473
RightHand,ThrowGust_V2,,15:33:01.347903
RightHand,ThrowFire_V2,,15:33:01.347962
RightHand,ThrowEarthPrison_V2,,15:33:01.347971
RightHand,,ShootFire_V2,15:33:01.864133
RightHand,ActivateFire_V2,,15:33:02.808994
LeftHand,ThrowEarthPrison_V2,,15:33:03.570220
LeftHand,ThrowFire_V2,,15:33:03.570279
LeftHand,ThrowGust_V2,,15:33:03.570289
RightHand,ThrowGust_V2,,15:33:03.586513
RightHand,ThrowFire_V2,,15:33:03.586571
RightHand,ThrowEarthPrison_V2,,15:33:03.586581
RightHand,,ShootFire_V2,15:33:04.094932
RightHand,ActivateFire_V2,,15:33:05.474401
RightHand,ThrowGust_V2,,15:33:06.056587
RightHand,ThrowFire_V2,,15:33:06.056645
RightHand,ThrowEarthPrison_V2,,15:33:06.056656
RightHand,,ShootFire_V2,15:33:06.584514
RightHand,ThrowGust_V2,,15:33:07.184148
RightHand,ThrowFire_V2,,15:33:07.184210
RightHand,ThrowEarthPrison_V2,,15:33:07.184220
RightHand,ActivateFire_V2,,15:33:08.070152
RightHand,ThrowGust_V2,,15:33:09.115502
RightHand,ThrowFire_V2,,15:33:09.115560
RightHand,ThrowEarthPrison_V2,,15:33:09.115571
RightHand,,ShootFire_V2,15:33:09.636831
RightHand,Recover_V1,ActivateRecover_V1,15:33:10.071908
RightHand,ThrowGust_V2,,15:33:14.565932
RightHand,ThrowFire_V2,,15:33:14.566011
RightHand,ThrowEarthPrison_V2,,15:33:14.566023
RightHand,ActivateFire_V2,,15:33:18.868783
RightHand,ActivateFire_V2,,15:33:19.702431
LeftHand,ThrowEarthPrison_V2,,15:33:21.854622
LeftHand,ThrowFire_V2,,15:33:21.854682
LeftHand,ThrowGust_V2,,15:33:21.854691
LeftHand,ThrowEarthPrison_V2,,15:33:27.264698
LeftHand,ThrowFire_V2,,15:33:27.264762
LeftHand,ThrowGust_V2,,15:33:27.264771
RightHand,ActivateFire_V2,,15:33:28.109736
RightHand,ThrowGust_V2,,15:33:28.936083
RightHand,ThrowFire_V2,,15:33:28.936145
RightHand,ThrowEarthPrison_V2,,15:33:28.936155
RightHand,,ShootFire_V2,15:33:29.453308
LeftHand,ThrowEarthPrison_V2,,15:33:30.708810
LeftHand,ThrowFire_V2,,15:33:30.708871
LeftHand,ThrowGust_V2,,15:33:30.708881
RightHand,Recover_V1,ActivateRecover_V1,15:33:31.198466
RightHand,Recover_V2,,15:33:33.727252
RightHand,ThrowGust_V2,,15:33:36.332381
RightHand,ThrowFire_V2,,15:33:36.332434
RightHand,ThrowEarthPrison_V2,,15:33:36.332444
RightHand,ActivateFire_V2,,15:33:36.937108
RightHand,ThrowGust_V2,,15:33:38.394512
RightHand,ThrowFire_V2,,15:33:38.394571
RightHand,ThrowEarthPrison_V2,,15:33:38.394581
RightHand,,ShootFire_V2,15:33:38.939087
RightHand,ThrowGust_V2,,15:33:42.338689
RightHand,ThrowFire_V2,,15:33:42.338747
RightHand,ThrowEarthPrison_V2,,15:33:42.338759
RightHand,ActivateFire_V2,,15:33:43.736876
RightHand,ThrowGust_V2,,15:33:45.258557
RightHand,ThrowFire_V2,,15:33:45.258612
RightHand,ThrowEarthPrison_V2,,15:33:45.258620
RightHand,,ShootFire_V2,15:33:45.780274
RightHand,ThrowGust_V2,,15:33:48.233403
RightHand,ThrowFire_V2,,15:33:48.233457
RightHand,ThrowEarthPrison_V2,,15:33:48.233465
LeftHand,ThrowEarthPrison_V2,,15:33:51.866791
LeftHand,ThrowFire_V2,,15:33:51.866855
LeftHand,ThrowGust_V2,,15:33:51.866865
RightHand,ActivateFire_V2,,15:33:53.199888
RightHand,ActivateFire_V2,,15:33:53.644149
RightHand,Recover_V1,ActivateRecover_V1,15:33:55.892253
RightHand,Recover_V2,,15:33:55.892304
RightHand,ActivateFire_V2,,15:34:00.607507
RightHand,ActivateFire_V2,,15:34:01.340817
RightHand,ThrowGust_V2,,15:34:03.039825
RightHand,ThrowFire_V2,,15:34:03.039884
RightHand,ThrowEarthPrison_V2,,15:34:03.039893
RightHand,,ShootFire_V2,15:34:03.562335
RightHand,ActivateFire_V2,,15:34:04.340170
LeftHand,ThrowEarthPrison_V2,,15:34:05.294569
LeftHand,ThrowFire_V2,,15:34:05.294631
LeftHand,ThrowGust_V2,,15:34:05.294639
RightHand,ActivateFire_V2,,15:34:06.339322
RightHand,ThrowGust_V2,,15:34:07.306317
RightHand,ThrowFire_V2,,15:34:07.306374
RightHand,ThrowEarthPrison_V2,,15:34:07.306383
RightHand,,ShootFire_V2,15:34:07.827156
RightHand,ActivateFire_V2,,15:34:16.812912
RightHand,ThrowGust_V2,,15:34:18.798255
RightHand,ThrowFire_V2,,15:34:18.798309
RightHand,ThrowEarthPrison_V2,,15:34:18.798320
RightHand,,ShootFire_V2,15:34:19.304508
RightHand,ActivateFire_V2,,15:34:19.567128
RightHand,ThrowGust_V2,,15:34:20.047482
RightHand,ThrowFire_V2,,15:34:20.047551
RightHand,ThrowEarthPrison_V2,,15:34:20.047560
RightHand,ActivateFire_V2,,15:34:20.596513
RightHand,Recover_V1,ActivateRecover_V1,15:34:23.097978
RightHand,Recover_V2,,15:34:23.098033
RightHand,ActivateFire_V2,,15:34:31.518480
RightHand,ThrowGust_V2,,15:34:32.746340
RightHand,ThrowFire_V2,,15:34:32.746404
RightHand,ThrowEarthPrison_V2,,15:34:32.746412
RightHand,,ShootFire_V2,15:34:33.257135
RightHand,EarthPrison_V1,ActivateEarthPrison_V1,15:34:35.210320
LeftHand,EarthPrison_V1,ActivateEarthPrison_V1,15:34:35.242592
RightHand,ThrowGust_V2,,15:34:37.596984
RightHand,ThrowFire_V2,,15:34:37.597050
RightHand,ThrowEarthPrison_V2,,15:34:37.597060
LeftHand,ThrowEarthPrison_V2,,15:34:37.641474
LeftHand,ThrowFire_V2,,15:34:37.641537
LeftHand,ThrowGust_V2,,15:34:37.641548
RightHand,ActivateFire_V2,,15:34:38.651425
LeftHand,Recover_V1,ActivateRecover_V1,15:34:40.682994
RightHand,ThrowGust_V2,,15:34:43.279130
RightHand,ThrowFire_V2,,15:34:43.279193
RightHand,ThrowEarthPrison_V2,,15:34:43.279202
RightHand,ThrowGust_V2,,15:34:48.772933
RightHand,ThrowFire_V2,,15:34:48.773004
RightHand,ThrowEarthPrison_V2,,15:34:48.773014
RightHand,ActivateFire_V2,,15:34:58.615330
RightHand,ThrowGust_V2,,15:34:59.340099
RightHand,ThrowFire_V2,,15:34:59.340167
RightHand,ThrowEarthPrison_V2,,15:34:59.340177
