CallerHand,GestureInput,ActionExecuted,Time
RightHand,Aim_V1,,15:46:17.618293
RightHand,ThrowGust_V2,,15:46:22.517289
RightHand,ThrowFire_V2,,15:46:22.517347
RightHand,ThrowEarthPrison_V2,,15:46:22.517357
RightHand,Recover_V1,ActivateRecover_V1,15:46:29.155074
RightHand,Recover_V2,,15:46:29.155131
RightHand,Shield_V1,ActivateShield_V1,15:46:30.232762
RightHand,Aim_V1,,15:46:37.682147
LeftHand,ThrowEarthPrison_V2,,15:46:41.377464
LeftHand,ThrowFire_V2,,15:46:41.377540
LeftHand,ThrowGust_V2,,15:46:41.377551
RightHand,Aim_V1,,15:46:45.431739
RightHand,Lightning_V1,,15:46:48.404368
RightHand,,ShootLightning_V1,15:46:48.531696
RightHand,Aim_V1,,15:46:48.617658
RightHand,Lightning_V1,,15:46:49.415141
RightHand,,ShootLightning_V1,15:46:49.426667
RightHand,Aim_V1,,15:46:49.620023
RightHand,Lightning_V1,,15:46:50.305204
RightHand,,ShootLightning_V1,15:46:50.316254
RightHand,Aim_V1,,15:46:50.638669
LeftHand,ThrowEarthPrison_V2,,15:47:00.197212
LeftHand,ThrowFire_V2,,15:47:00.197281
LeftHand,ThrowGust_V2,,15:47:00.197291
RightHand,ThrowGust_V2,,15:47:02.082879
RightHand,ThrowFire_V2,,15:47:02.082940
RightHand,ThrowEarthPrison_V2,,15:47:02.082950
RightHand,ThrowGust_V2,,15:47:03.201024
RightHand,ThrowFire_V2,,15:47:03.201083
RightHand,ThrowEarthPrison_V2,,15:47:03.201093
RightHand,ThrowGust_V2,,15:47:06.091951
RightHand,ThrowFire_V2,,15:47:06.092011
RightHand,ThrowEarthPrison_V2,,15:47:06.092020
LeftHand,ActivateFire_V2,,15:47:09.569895
RightHand,ActivateFire_V2,,15:47:10.745933
RightHand,ThrowGust_V2,,15:47:13.926053
RightHand,ThrowFire_V2,,15:47:13.926135
RightHand,ThrowEarthPrison_V2,,15:47:13.926145
RightHand,ActivateFire_V2,,15:47:14.695523
LeftHand,ThrowEarthPrison_V2,,15:47:15.479137
LeftHand,ThrowFire_V2,,15:47:15.479196
LeftHand,ThrowGust_V2,,15:47:15.479205
LeftHand,ActivateFire_V2,,15:47:16.073003
RightHand,ThrowGust_V2,,15:47:16.907701
RightHand,ThrowFire_V2,,15:47:16.907758
RightHand,ThrowEarthPrison_V2,,15:47:16.907767
RightHand,ActivateFire_V2,,15:47:17.754869
RightHand,ThrowGust_V2,,15:47:19.745980
RightHand,ThrowFire_V2,,15:47:19.746035
RightHand,ThrowEarthPrison_V2,,15:47:19.746043
RightHand,,ShootFire_V2,15:47:20.276548
RightHand,ActivateFire_V2,,15:47:20.633057
RightHand,Shield_V1,ActivateShield_V1,15:47:21.330944
RightHand,ActivateLightning_V2,,15:47:23.913781
RightHand,ThrowGust_V2,,15:47:25.472836
RightHand,ThrowFire_V2,,15:47:25.472903
RightHand,ThrowEarthPrison_V2,,15:47:25.472912
LeftHand,ThrowEarthPrison_V2,,15:47:25.808181
LeftHand,ThrowFire_V2,,15:47:25.808240
LeftHand,ThrowGust_V2,,15:47:25.808250
LeftHand,ActivateFire_V2,,15:47:26.525375
RightHand,ActivateFire_V2,,15:47:26.709743
RightHand,ThrowGust_V2,,15:47:28.294296
RightHand,ThrowFire_V2,,15:47:28.294377
RightHand,ThrowEarthPrison_V2,,15:47:28.294387
RightHand,,ShootFire_V2,15:47:28.808501
RightHand,ActivateFire_V2,,15:47:38.065072
LeftHand,ThrowEarthPrison_V2,,15:47:38.643586
LeftHand,ThrowFire_V2,,15:47:38.643650
LeftHand,ThrowGust_V2,,15:47:38.643659
LeftHand,ActivateFire_V2,,15:47:39.774011
RightHand,ThrowGust_V2,,15:47:40.107975
RightHand,ThrowFire_V2,,15:47:40.108035
RightHand,ThrowEarthPrison_V2,,15:47:40.108045
RightHand,,ShootFire_V2,15:47:40.615059
RightHand,ActivateFire_V2,,15:47:40.862542
RightHand,ThrowGust_V2,,15:47:42.056906
RightHand,ThrowFire_V2,,15:47:42.056968
RightHand,ThrowEarthPrison_V2,,15:47:42.056979
RightHand,,ShootFire_V2,15:47:42.558528
LeftHand,ActivateFire_V2,,15:47:42.559072
LeftHand,ActivateFire_V2,,15:47:43.637711
RightHand,Recover_V1,ActivateRecover_V1,15:47:45.405877
RightHand,Recover_V2,,15:47:45.405948
LeftHand,EarthPrison_V1,ActivateEarthPrison_V1,15:47:46.434459
RightHand,Shield_V1,ActivateShield_V1,15:47:46.467835
LeftHand,Shield_V1,ActivateShield_V1,15:47:46.686739
RightHand,ThrowGust_V2,,15:47:48.105185
RightHand,ThrowFire_V2,,15:47:48.105251
RightHand,ThrowEarthPrison_V2,,15:47:48.105259
LeftHand,ActivateFire_V2,,15:47:48.194959
RightHand,ActivateFire_V2,,15:47:48.976280
LeftHand,Recover_V2,,15:47:50.633181
LeftHand,Recover_V1,ActivateRecover_V1,15:47:50.633547
RightHand,Recover_V1,ActivateRecover_V1,15:47:50.677830
RightHand,Recover_V2,,15:47:50.677876
Both,,ActivateRecover_V2,15:47:50.677944
RightHand,EarthPrison_V1,ActivateEarthPrison_V1,15:47:51.195235
LeftHand,ThrowEarthPrison_V2,,15:47:51.792976
LeftHand,ThrowFire_V2,,15:47:51.793040
LeftHand,ThrowGust_V2,,15:47:51.793051
RightHand,ActivateFire_V2,,15:47:52.393257
LeftHand,ActivateFire_V2,,15:47:52.426967
