CallerHand,GestureInput,ActionExecuted,Time
LeftHand,Aim_V1,,16:27:06.359934
LeftHand,Aim_V1,,16:27:06.861944
RightHand,ThrowGust_V2,,16:27:07.915923
RightHand,ThrowFire_V2,,16:27:07.915989
RightHand,ThrowEarthPrison_V2,,16:27:07.915999
RightHand,ThrowGust_V2,,16:27:10.805429
RightHand,ThrowFire_V2,,16:27:10.805497
RightHand,ThrowEarthPrison_V2,,16:27:10.805510
RightHand,ThrowGust_V2,,16:27:11.936652
RightHand,ThrowFire_V2,,16:27:11.936718
RightHand,ThrowEarthPrison_V2,,16:27:11.936728
LeftHand,ThrowEarthPrison_V2,,16:27:12.509614
LeftHand,ThrowFire_V2,,16:27:12.509776
LeftHand,ThrowGust_V2,,16:27:12.509797
LeftHand,ThrowEarthPrison_V2,,16:27:15.794349
LeftHand,ThrowFire_V2,,16:27:15.794430
LeftHand,ThrowGust_V2,,16:27:15.794442
RightHand,ThrowGust_V2,,16:27:15.835275
RightHand,ThrowFire_V2,,16:27:15.835342
RightHand,ThrowEarthPrison_V2,,16:27:15.835352
RightHand,ActivateFire_V2,,16:27:18.735259
RightHand,ActivateFire_V2,,16:27:20.034772
RightHand,ActivateFire_V2,,16:27:20.239271
RightHand,ThrowGust_V2,,16:27:21.582552
RightHand,ThrowFire_V2,,16:27:21.582608
RightHand,ThrowEarthPrison_V2,,16:27:21.582619
RightHand,Shield_V2,,16:27:21.894241
RightHand,,ShootFire_V2,16:27:22.079073
RightHand,ActivateFire_V2,,16:27:22.312619
RightHand,ThrowGust_V2,,16:27:24.061154
RightHand,ThrowFire_V2,,16:27:24.061221
RightHand,ThrowEarthPrison_V2,,16:27:24.061232
RightHand,,ShootFire_V2,16:27:24.569902
RightHand,ActivateFire_V2,,16:27:25.107294
RightHand,ThrowGust_V2,,16:27:26.275116
RightHand,ThrowFire_V2,,16:27:26.275170
RightHand,ThrowEarthPrison_V2,,16:27:26.275180
RightHand,,ShootFire_V2,16:27:26.779869
RightHand,ActivateFire_V2,,16:27:27.090424
LeftHand,ThrowEarthPrison_V2,,16:27:27.639733
LeftHand,ThrowFire_V2,,16:27:27.639800
LeftHand,ThrowGust_V2,,16:27:27.639812
RightHand,ThrowGust_V2,,16:27:28.206602
RightHand,ThrowFire_V2,,16:27:28.206671
RightHand,ThrowEarthPrison_V2,,16:27:28.206683
RightHand,ActivateFire_V2,,16:27:29.516369
RightHand,ActivateLightning_V2,,16:27:30.278671
RightHand,ActivateLightning_V2,,16:27:30.472958
RightHand,ThrowGust_V2,,16:27:30.503830
RightHand,ThrowFire_V2,,16:27:30.503886
RightHand,ThrowEarthPrison_V2,,16:27:30.503897
RightHand,Aim_V1,,16:27:34.290851
LeftHand,ThrowEarthPrison_V2,,16:27:38.823934
LeftHand,ThrowFire_V2,,16:27:38.824013
LeftHand,ThrowGust_V2,,16:27:38.824025
LeftHand,Aim_V1,,16:27:40.221180
LeftHand,Aim_V1,,16:27:41.006728
RightHand,ThrowGust_V2,,16:27:41.979927
RightHand,ThrowFire_V2,,16:27:41.979993
RightHand,ThrowEarthPrison_V2,,16:27:41.980002
RightHand,Aim_V1,,16:27:42.071886
LeftHand,Fire_V1,,16:27:47.488186
LeftHand,,ShootFire_V1,16:27:47.589475
RightHand,Fire_V1,,16:27:47.654898
RightHand,Aim_V1,,16:27:47.852076
LeftHand,Aim_V1,,16:27:48.120580
RightHand,Aim_V1,,16:27:49.326921
RightHand,Fire_V1,,16:27:50.128651
RightHand,,ShootFire_V1,16:27:50.240291
RightHand,Aim_V1,,16:27:50.731808
LeftHand,ThrowEarthPrison_V2,,16:27:51.748541
LeftHand,ThrowFire_V2,,16:27:51.748613
LeftHand,ThrowGust_V2,,16:27:51.748624
RightHand,Aim_V1,,16:27:52.412271
RightHand,Aim_V1,,16:27:57.144676
RightHand,ActivateFire_V2,,16:28:02.981806
RightHand,ThrowGust_V2,,16:28:03.981218
RightHand,ThrowFire_V2,,16:28:03.981306
RightHand,ThrowEarthPrison_V2,,16:28:03.981321
RightHand,,ShootFire_V2,16:28:04.483585
RightHand,ActivateFire_V2,,16:28:05.024732
RightHand,ThrowGust_V2,,16:28:06.133833
RightHand,ThrowFire_V2,,16:28:06.133892
RightHand,ThrowEarthPrison_V2,,16:28:06.133903
RightHand,,ShootFire_V2,16:28:06.635341
RightHand,Aim_V1,,16:28:08.773431
RightHand,Lightning_V1,,16:28:10.477404
RightHand,,ShootLightning_V1,16:28:10.611706
RightHand,Aim_V1,,16:28:11.079033
RightHand,Lightning_V1,,16:28:12.125999
RightHand,,ShootLightning_V1,16:28:12.248618
RightHand,Aim_V1,,16:28:12.439373
RightHand,Lightning_V1,,16:28:13.602911
RightHand,,ShootLightning_V1,16:28:13.730327
RightHand,EarthPrison_V1,ActivateEarthPrison_V1,16:28:13.988307
RightHand,,ShootEarthPrison_V1,16:28:14.118699
RightHand,Aim_V1,,16:28:14.710130
LeftHand,ActivateActivationEarthPrison_V2,,16:28:16.948758
LeftHand,ActivateFire_V2,,16:28:17.651377
LeftHand,Shield_V1,ActivateShield_V1,16:28:18.641606
LeftHand,Recover_V2,,16:28:22.281330
LeftHand,Recover_V1,ActivateRecover_V1,16:28:22.281713
LeftHand,Recover_V2,,16:28:24.555556
RightHand,Recover_V1,ActivateRecover_V1,16:28:24.555799
RightHand,Recover_V2,,16:28:24.555847
Both,,ActivateRecover_V2,16:28:24.555941
LeftHand,Recover_V1,ActivateRecover_V1,16:28:24.556063
LeftHand,ActivateActivationEarthPrison_V2,,16:28:30.169676
RightHand,ActivateActivationEarthPrison_V2,,16:28:30.304077
RightHand,ActivateFire_V2,,16:28:30.927355
RightHand,ThrowEarthPrison_V2,,16:28:30.976571
RightHand,,ActivateEarthPrison_V2,16:28:31.094387
LeftHand,ActivateActivationEarthPrison_V2,,16:28:32.233275
LeftHand,ActivateFire_V2,,16:28:34.694424
LeftHand,ThrowEarthPrison_V2,,16:28:35.938745
LeftHand,ThrowFire_V2,,16:28:35.938809
LeftHand,ThrowGust_V2,,16:28:35.938820
RightHand,Lightning_V1,,16:28:35.986504
RightHand,ThrowGust_V2,,16:28:36.486846
RightHand,ThrowFire_V2,,16:28:36.486904
RightHand,ThrowEarthPrison_V2,,16:28:36.486914
RightHand,Aim_V1,,16:28:37.304566
RightHand,Fire_V1,,16:28:38.951197
RightHand,,ShootFire_V1,16:28:39.064242
RightHand,Aim_V1,,16:28:39.360379
RightHand,Aim_V1,,16:28:40.933634
RightHand,Aim_V1,,16:28:43.372877
RightHand,Lightning_V1,,16:28:46.930950
RightHand,,ShootLightning_V1,16:28:47.054514
RightHand,Aim_V1,,16:28:47.292182
RightHand,Aim_V1,,16:28:52.467421
RightHand,ThrowGust_V2,,16:28:57.645919
RightHand,ThrowFire_V2,,16:28:57.645989
RightHand,ThrowEarthPrison_V2,,16:28:57.646000
LeftHand,Aim_V1,,16:28:57.677070
RightHand,Fire_V1,,16:28:59.766497
RightHand,,ShootFire_V1,16:28:59.871890
RightHand,Aim_V1,,16:29:00.085423
RightHand,Fire_V1,,16:29:02.041866
RightHand,,ShootFire_V1,16:29:02.147531
RightHand,Fire_V1,,16:29:02.344704
RightHand,Fire_V1,,16:29:02.592266
RightHand,Aim_V1,,16:29:02.746286
RightHand,Fire_V1,,16:29:02.932639
RightHand,,ShootFire_V1,16:29:03.037248
RightHand,Aim_V1,,16:29:03.159417
RightHand,Fire_V1,,16:29:03.611883
