CallerHand,GestureInput,ActionExecuted,Time
RightHand,Lightning_V1,,15:12:03.690496
RightHand,,ShootLightning_V1,15:12:03.813251
RightHand,Aim_V1,,15:12:04.193243
LeftHand,Shield_V1,ActivateShield_V1,15:12:12.664052
RightHand,Lightning_V1,,15:12:12.831615
RightHand,,ShootLightning_V1,15:12:12.846450
RightHand,Lightning_V1,,15:12:13.209033
LeftHand,Shield_V1,ActivateShield_V1,15:12:14.050178
RightHand,Lightning_V1,,15:12:14.513453
LeftHand,ThrowEarthPrison_V2,,15:12:15.111534
LeftHand,ThrowFire_V2,,15:12:15.111610
LeftHand,ThrowGust_V2,,15:12:15.111622
RightHand,Lightning_V1,,15:12:15.363164
RightHand,Lightning_V1,,15:12:16.028030
RightHand,Lightning_V1,,15:12:16.540302
RightHand,Aim_V1,,15:12:17.232024
RightHand,Lightning_V1,,15:12:18.811933
RightHand,,ShootLightning_V1,15:12:18.913404
RightHand,Aim_V1,,15:12:19.899284
RightHand,Lightning_V1,,15:12:20.162697
RightHand,,ShootLightning_V1,15:12:20.263707
RightHand,Aim_V1,,15:12:20.527658
RightHand,Lightning_V1,,15:12:21.187576
RightHand,,ShootLightning_V1,15:12:21.301864
LeftHand,ThrowEarthPrison_V2,,15:12:23.123052
LeftHand,ThrowFire_V2,,15:12:23.123129
LeftHand,ThrowGust_V2,,15:12:23.123141
RightHand,Lightning_V1,,15:12:24.247720
RightHand,Aim_V1,,15:12:24.381289
RightHand,,ShootLightning_V1,15:12:24.515086
RightHand,,ShootLightning_V1,15:12:24.714459
RightHand,,ShootLightning_V1,15:12:24.938582
RightHand,,ShootLightning_V1,15:12:25.172979
RightHand,Lightning_V1,,15:12:25.636610
RightHand,,ShootLightning_V1,15:12:25.671149
RightHand,,ShootLightning_V1,15:12:25.874034
RightHand,,ShootLightning_V1,15:12:26.108392
RightHand,,ShootLightning_V1,15:12:26.308919
RightHand,,ShootLightning_V1,15:12:26.541977
RightHand,,ShootLightning_V1,15:12:26.775351
RightHand,,ShootLightning_V1,15:12:27.010148
LeftHand,ThrowEarthPrison_V2,,15:12:28.886946
LeftHand,ThrowFire_V2,,15:12:28.887072
LeftHand,ThrowGust_V2,,15:12:28.887084
RightHand,Aim_V1,,15:12:31.835769
RightHand,Lightning_V1,,15:12:31.835820
RightHand,,ShootLightning_V1,15:12:31.958379
RightHand,,ShootLightning_V1,15:12:32.133677
RightHand,Lightning_V1,,15:12:32.989486
RightHand,,ShootLightning_V1,15:12:33.093083
RightHand,Aim_V1,,15:12:34.351883
RightHand,Lightning_V1,,15:12:35.031400
RightHand,,ShootLightning_V1,15:12:35.136020
RightHand,Lightning_V1,,15:12:36.187851
RightHand,Aim_V1,,15:12:36.711062
RightHand,Lightning_V1,,15:12:37.129430
RightHand,,ShootLightning_V1,15:12:37.145451
LeftHand,ThrowEarthPrison_V2,,15:12:38.597911
LeftHand,ThrowFire_V2,,15:12:38.597994
LeftHand,ThrowGust_V2,,15:12:38.598006
RightHand,Aim_V1,,15:12:40.108121
RightHand,,ShootLightning_V1,15:12:40.264164
RightHand,Lightning_V1,,15:12:41.099413
RightHand,,ShootLightning_V1,15:12:41.245013
RightHand,Lightning_V1,,15:12:43.122237
LeftHand,ThrowEarthPrison_V2,,15:12:43.811041
LeftHand,ThrowFire_V2,,15:12:43.811119
LeftHand,ThrowGust_V2,,15:12:43.811131
RightHand,Aim_V1,,15:12:43.877448
RightHand,Lightning_V1,,15:12:44.618740
RightHand,,ShootLightning_V1,15:12:44.730915
RightHand,Aim_V1,,15:12:45.999434
RightHand,Lightning_V1,,15:12:46.587458
RightHand,,ShootLightning_V1,15:12:46.689019
RightHand,Lightning_V1,,15:12:48.610239
RightHand,ActivateGust_V2,,15:12:49.323454
RightHand,Aim_V1,,15:12:49.593343
RightHand,Lightning_V1,,15:12:50.747267
RightHand,,ShootLightning_V1,15:12:50.858055
RightHand,Aim_V1,,15:12:51.442784
RightHand,Lightning_V1,,15:12:51.621407
RightHand,,ShootLightning_V1,15:12:51.731806
LeftHand,ThrowEarthPrison_V2,,15:12:52.715671
LeftHand,ThrowFire_V2,,15:12:52.715749
LeftHand,ThrowGust_V2,,15:12:52.715760
RightHand,Lightning_V1,,15:12:53.354211
RightHand,Aim_V1,,15:12:53.607052
RightHand,Lightning_V1,,15:12:54.737610
RightHand,Lightning_V1,,15:12:55.215105
RightHand,Aim_V1,,15:12:55.340525
RightHand,,ShootLightning_V1,15:12:55.462805
RightHand,,ShootLightning_V1,15:12:55.623342
RightHand,Lightning_V1,,15:12:55.872681
RightHand,,ShootLightning_V1,15:12:55.972502
